,Date,Bitcoin Difficulty,Ethereum Difficulty,Ripple Difficulty,Bitcoin Hashrate,Ethereum Hashrate,Ripple Hashrate,Bitcoin Mining Prob,Ethereum Mining Prob,Ripple Mining Prob,Bitcoin Avg. Transaction Value,Ethereum Avg. Transaction Value,Ripple Avg. Transaction Value,Bitcoin No. of Transactions,Ethereum No. of Transactions,Ripple No. of Transactions,Bitcoin Avg. Transaction Fee,Ethereum Avg. Transaction Fee,Ripple Avg. Transaction Fee
0,2009-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
1,2009-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2,2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
3,2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
4,2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
5,2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
6,2009-01-09,0.0,0.0,0.0,16.347326397649038,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
7,2009-01-10,0.0,0.0,0.0,16.053901923705837,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
8,2009-01-11,0.0,0.0,0.0,15.396036724770541,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
9,2009-01-12,0.0,0.0,0.0,15.334534803086452,0.0,0.0,,,,,,,1.9459101490553132,0.0,0.0,,,
10,2009-01-13,0.0,0.0,0.0,15.547978693235816,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
11,2009-01-14,0.0,0.0,0.0,15.641134755967833,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
12,2009-01-15,0.0,0.0,0.0,15.666396115002616,0.0,0.0,,,,,,,2.0794415416798357,0.0,0.0,,,
13,2009-01-16,0.0,0.0,0.0,15.618876247030359,0.0,0.0,,,,,,,0.6931471805599453,0.0,0.0,,,
14,2009-01-17,0.0,0.0,0.0,15.47197250444919,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
15,2009-01-18,0.0,0.0,0.0,15.462259861956701,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
16,2009-01-19,0.0,0.0,0.0,15.566877107273067,0.0,0.0,,,,,,,0.6931471805599453,0.0,0.0,,,
17,2009-01-20,0.0,0.0,0.0,15.572263209763014,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
18,2009-01-21,0.0,0.0,0.0,15.53100272536343,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
